지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,기준금액,금액의미,기준금액_25,기준금액_75,면적_중앙값,월세_보증금,월세_임대료
개포1동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,매매가,315000.0,725000.0,292.2,,
개포1동,강남구,아파트,매매,20-40㎡,50,높음,법정동,170000.0,매매가,153750.0,175000.0,39.5,,
개포1동,강남구,아파트,매매,40-60㎡,85,높음,법정동,267000.0,매매가,211000.0,290000.0,59.9,,
개포1동,강남구,아파트,매매,60-85㎡,83,높음,법정동,348000.0,매매가,320000.0,371000.0,84.6,,
개포1동,강남구,아파트,매매,85-135㎡,15,보통,해당지역,299000.0,매매가,277500.0,305500.0,105.8,,
개포1동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,매매가,367500.0,750000.0,163.7,,
개포1동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,매매가,19446.0,29500.0,16.6,,
개포1동,강남구,연립다세대,매매,20-40㎡,45,높음,법정동,53500.0,매매가,40000.0,64800.0,32.8,,
개포1동,강남구,연립다세대,매매,40-60㎡,58,높음,법정동,72500.0,매매가,59150.0,83375.0,48.9,,
개포1동,강남구,연립다세대,매매,60-85㎡,17,보통,법정동,86500.0,매매가,73000.0,120000.0,75.6,,
개포1동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,매매가,113500.0,238125.0,106.1,,
개포1동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,매매가,155000.0,222000.0,166.0,,
개포1동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,매매가,15600.0,24425.0,17.6,,
개포1동,강남구,오피스텔,매매,20-40㎡,19,보통,법정동,21800.0,매매가,21300.0,23750.0,32.4,,
개포1동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,매매가,33000.0,50000.0,45.5,,
개포1동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,매매가,65400.0,114750.0,74.8,,
개포1동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,64.2,월환산,54.6,74.4,19.0,1000.0,60.0
개포1동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,64.6,월환산,54.6,74.8,30.0,1000.0,54.5
개포1동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,102.4,월환산,93.6,121.0,46.9,5000.0,70.0
개포1동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,165.9,월환산,133.2,214.3,67.8,5000.0,120.0
개포1동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,205.8,월환산,158.7,271.5,100.7,10000.0,130.0
개포1동,강남구,단독다가구,월세,135㎡초과,46,높음,자치구,104.4,월환산,75.3,186.3,177.8,1000.0,82.5
개포1동,강남구,아파트,월세,20㎡이하,353,높음,자치구,81.0,월환산,39.7,89.6,14.7,6606.0,42.0
개포1동,강남구,아파트,월세,20-40㎡,101,높음,법정동,164.9,월환산,144.2,193.8,39.5,5000.0,130.0
개포1동,강남구,아파트,월세,40-60㎡,235,높음,법정동,341.2,월환산,196.6,463.1,59.7,24270.0,170.0
개포1동,강남구,아파트,월세,60-85㎡,220,높음,법정동,556.8,월환산,377.3,615.2,84.4,43500.0,260.0
개포1동,강남구,아파트,월세,85-135㎡,44,높음,해당지역,479.9,월환산,392.5,566.8,108.1,65000.0,158.0
개포1동,강남구,아파트,월세,135㎡초과,10,보통,법정동,530.0,월환산,492.1,678.0,163.1,60000.0,182.5
개포1동,강남구,연립다세대,월세,20㎡이하,19,보통,법정동,69.2,월환산,59.6,105.7,17.7,1000.0,55.0
개포1동,강남구,연립다세대,월세,20-40㎡,128,높음,법정동,113.9,월환산,83.2,147.6,29.8,10000.0,46.5
개포1동,강남구,연립다세대,월세,40-60㎡,97,높음,법정동,136.7,월환산,109.6,170.3,47.2,15000.0,60.0
개포1동,강남구,연립다세대,월세,60-85㎡,26,보통,법정동,183.1,월환산,154.9,209.9,69.3,20000.0,75.0
개포1동,강남구,연립다세대,월세,85-135㎡,77,높음,자치구,265.4,월환산,181.5,337.1,105.5,15000.0,115.0
개포1동,강남구,연립다세대,월세,135㎡초과,24,보통,자치구,525.6,월환산,371.9,925.0,164.1,50000.0,375.0
개포1동,강남구,오피스텔,월세,20㎡이하,292,높음,자치구,95.6,월환산,90.2,103.1,17.6,2000.0,83.5
개포1동,강남구,오피스텔,월세,20-40㎡,86,높음,법정동,94.2,월환산,85.4,99.1,32.4,1000.0,85.0
개포1동,강남구,오피스텔,월세,40-60㎡,88,높음,자치구,163.5,월환산,141.8,222.9,47.7,5000.0,140.0
개포1동,강남구,오피스텔,월세,60-85㎡,22,보통,자치구,280.9,월환산,249.2,346.1,73.3,10000.0,250.0
개포1동,강남구,오피스텔,월세,85-135㎡,14,보통,자치구,399.2,월환산,353.2,504.8,94.6,31250.0,260.0
개포1동,강남구,오피스텔,월세,135㎡초과,10,보통,자치구,985.0,월환산,895.4,1027.3,180.3,60000.0,650.0
개포1동,강남구,단독다가구,전세,20㎡이하,23,보통,자치구,9500.0,보증금,7000.0,11012.5,19.5,9500.0,0.0
개포1동,강남구,단독다가구,전세,20-40㎡,18,보통,법정동,14100.0,보증금,12500.0,15000.0,32.3,14100.0,0.0
개포1동,강남구,단독다가구,전세,40-60㎡,11,보통,법정동,22000.0,보증금,18500.0,23575.0,45.0,22000.0,0.0
개포1동,강남구,단독다가구,전세,60-85㎡,74,높음,자치구,38000.0,보증금,30000.0,43750.0,69.6,38000.0,0.0
개포1동,강남구,단독다가구,전세,85-135㎡,43,높음,자치구,43500.0,보증금,35750.0,57650.0,99.0,43500.0,0.0
개포1동,강남구,단독다가구,전세,135㎡초과,12,보통,자치구,35200.0,보증금,28750.0,55750.0,173.1,35200.0,0.0
개포1동,강남구,아파트,전세,20㎡이하,30,높음,자치구,19823.0,보증금,18225.0,30000.0,18.1,19823.0,0.0
개포1동,강남구,아파트,전세,20-40㎡,150,높음,법정동,40000.0,보증금,36712.5,45000.0,39.5,40000.0,0.0
개포1동,강남구,아파트,전세,40-60㎡,216,높음,법정동,67200.0,보증금,48525.0,105000.0,53.5,67200.0,0.0
개포1동,강남구,아파트,전세,60-85㎡,229,높음,법정동,115500.0,보증금,55000.0,142000.0,83.7,115500.0,0.0
개포1동,강남구,아파트,전세,85-135㎡,38,높음,해당지역,114750.0,보증금,94250.0,131237.5,108.1,114750.0,0.0
개포1동,강남구,아파트,전세,135㎡초과,16,보통,해당지역,120000.0,보증금,109687.5,130000.0,171.5,120000.0,0.0
개포1동,강남구,연립다세대,전세,20㎡이하,116,높음,자치구,16000.0,보증금,14000.0,20000.0,17.6,16000.0,0.0
개포1동,강남구,연립다세대,전세,20-40㎡,106,높음,법정동,30000.0,보증금,23000.0,33650.0,29.8,30000.0,0.0
개포1동,강남구,연립다세대,전세,40-60㎡,96,높음,법정동,35000.0,보증금,28563.8,41850.0,48.6,35000.0,0.0
개포1동,강남구,연립다세대,전세,60-85㎡,37,높음,법정동,40700.0,보증금,36750.0,47000.0,68.5,40700.0,0.0
개포1동,강남구,연립다세대,전세,85-135㎡,51,높음,자치구,65000.0,보증금,52500.0,80000.0,105.8,65000.0,0.0
개포1동,강남구,연립다세대,전세,135㎡초과,18,보통,자치구,105000.0,보증금,84887.5,135000.0,176.2,105000.0,0.0
개포1동,강남구,오피스텔,전세,20㎡이하,69,높음,자치구,21000.0,보증금,18600.0,23000.0,17.6,21000.0,0.0
개포1동,강남구,오피스텔,전세,20-40㎡,26,보통,법정동,19650.0,보증금,19000.0,21750.0,31.9,19650.0,0.0
개포1동,강남구,오피스텔,전세,40-60㎡,86,높음,자치구,37962.5,보증금,34140.0,45000.0,47.6,37962.5,0.0
개포1동,강남구,오피스텔,전세,60-85㎡,17,보통,자치구,68000.0,보증금,55600.0,73000.0,74.8,68000.0,0.0
개포1동,강남구,오피스텔,전세,85-135㎡,10,보통,자치구,106000.0,보증금,74625.0,132562.5,107.0,106000.0,0.0
개포2동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,매매가,315000.0,725000.0,292.2,,
개포2동,강남구,아파트,매매,20-40㎡,50,높음,법정동,170000.0,매매가,153750.0,175000.0,39.5,,
개포2동,강남구,아파트,매매,40-60㎡,39,높음,해당지역,290000.0,매매가,270750.0,300500.0,59.9,,
개포2동,강남구,아파트,매매,60-85㎡,63,높음,해당지역,355000.0,매매가,341000.0,377750.0,84.6,,
개포2동,강남구,아파트,매매,85-135㎡,28,보통,해당지역,431000.0,매매가,394500.0,472000.0,111.8,,
개포2동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,매매가,367500.0,750000.0,163.7,,
개포2동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,매매가,19446.0,29500.0,16.6,,
개포2동,강남구,연립다세대,매매,20-40㎡,45,높음,법정동,53500.0,매매가,40000.0,64800.0,32.8,,
개포2동,강남구,연립다세대,매매,40-60㎡,58,높음,법정동,72500.0,매매가,59150.0,83375.0,48.9,,
개포2동,강남구,연립다세대,매매,60-85㎡,17,보통,법정동,86500.0,매매가,73000.0,120000.0,75.6,,
개포2동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,매매가,113500.0,238125.0,106.1,,
개포2동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,매매가,155000.0,222000.0,166.0,,
개포2동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,매매가,15600.0,24425.0,17.6,,
개포2동,강남구,오피스텔,매매,20-40㎡,19,보통,법정동,21800.0,매매가,21300.0,23750.0,32.4,,
개포2동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,매매가,33000.0,50000.0,45.5,,
개포2동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,매매가,65400.0,114750.0,74.8,,
개포2동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,64.2,월환산,54.6,74.4,19.0,1000.0,60.0
개포2동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,64.6,월환산,54.6,74.8,30.0,1000.0,54.5
개포2동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,102.4,월환산,93.6,121.0,46.9,5000.0,70.0
개포2동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,165.9,월환산,133.2,214.3,67.8,5000.0,120.0
개포2동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,205.8,월환산,158.7,271.5,100.7,10000.0,130.0
개포2동,강남구,단독다가구,월세,135㎡초과,46,높음,자치구,104.4,월환산,75.3,186.3,177.8,1000.0,82.5
개포2동,강남구,아파트,월세,20㎡이하,11,보통,해당지역,81.0,월환산,75.3,88.1,18.9,13213.0,26.0
개포2동,강남구,아파트,월세,20-40㎡,22,보통,해당지역,167.1,월환산,136.9,294.2,39.9,19434.0,53.5
개포2동,강남구,아파트,월세,40-60㎡,264,높음,해당지역,211.3,월환산,165.0,384.2,59.6,23029.0,100.0
개포2동,강남구,아파트,월세,60-85㎡,195,높음,해당지역,591.7,월환산,498.3,645.8,84.4,50000.0,265.0
개포2동,강남구,아파트,월세,85-135㎡,42,높음,해당지역,793.8,월환산,693.0,893.9,105.3,85000.0,385.0
개포2동,강남구,아파트,월세,135㎡초과,10,보통,법정동,530.0,월환산,492.1,678.0,163.1,60000.0,182.5
개포2동,강남구,연립다세대,월세,20㎡이하,19,보통,법정동,69.2,월환산,59.6,105.7,17.7,1000.0,55.0
개포2동,강남구,연립다세대,월세,20-40㎡,12,보통,해당지역,87.4,월환산,72.3,128.9,31.4,9000.0,48.0
개포2동,강남구,연립다세대,월세,40-60㎡,97,높음,법정동,136.7,월환산,109.6,170.3,47.2,15000.0,60.0
개포2동,강남구,연립다세대,월세,60-85㎡,26,보통,법정동,183.1,월환산,154.9,209.9,69.3,20000.0,75.0
개포2동,강남구,연립다세대,월세,85-135㎡,77,높음,자치구,265.4,월환산,181.5,337.1,105.5,15000.0,115.0
개포2동,강남구,연립다세대,월세,135㎡초과,24,보통,자치구,525.6,월환산,371.9,925.0,164.1,50000.0,375.0
개포2동,강남구,오피스텔,월세,20㎡이하,292,높음,자치구,95.6,월환산,90.2,103.1,17.6,2000.0,83.5
개포2동,강남구,오피스텔,월세,20-40㎡,86,높음,법정동,94.2,월환산,85.4,99.1,32.4,1000.0,85.0
개포2동,강남구,오피스텔,월세,40-60㎡,88,높음,자치구,163.5,월환산,141.8,222.9,47.7,5000.0,140.0
개포2동,강남구,오피스텔,월세,60-85㎡,22,보통,자치구,280.9,월환산,249.2,346.1,73.3,10000.0,250.0
개포2동,강남구,오피스텔,월세,85-135㎡,14,보통,자치구,399.2,월환산,353.2,504.8,94.6,31250.0,260.0
개포2동,강남구,오피스텔,월세,135㎡초과,10,보통,자치구,985.0,월환산,895.4,1027.3,180.3,60000.0,650.0
개포2동,강남구,단독다가구,전세,20㎡이하,23,보통,자치구,9500.0,보증금,7000.0,11012.5,19.5,9500.0,0.0
개포2동,강남구,단독다가구,전세,20-40㎡,18,보통,법정동,14100.0,보증금,12500.0,15000.0,32.3,14100.0,0.0
개포2동,강남구,단독다가구,전세,40-60㎡,11,보통,법정동,22000.0,보증금,18500.0,23575.0,45.0,22000.0,0.0
개포2동,강남구,단독다가구,전세,60-85㎡,74,높음,자치구,38000.0,보증금,30000.0,43750.0,69.6,38000.0,0.0
개포2동,강남구,단독다가구,전세,85-135㎡,43,높음,자치구,43500.0,보증금,35750.0,57650.0,99.0,43500.0,0.0
개포2동,강남구,단독다가구,전세,135㎡초과,12,보통,자치구,35200.0,보증금,28750.0,55750.0,173.1,35200.0,0.0
개포2동,강남구,아파트,전세,20㎡이하,30,높음,자치구,19823.0,보증금,18225.0,30000.0,18.1,19823.0,0.0
개포2동,강남구,아파트,전세,20-40㎡,150,높음,법정동,40000.0,보증금,36712.5,45000.0,39.5,40000.0,0.0
개포2동,강남구,아파트,전세,40-60㎡,106,높음,해당지역,90000.0,보증금,45878.8,110250.0,59.8,90000.0,0.0
개포2동,강남구,아파트,전세,60-85㎡,214,높음,해당지역,136500.0,보증금,56631.2,150000.0,84.4,136500.0,0.0
개포2동,강남구,아파트,전세,85-135㎡,44,높음,해당지역,176750.0,보증금,162625.0,210000.0,103.3,176750.0,0.0
개포2동,강남구,아파트,전세,135㎡초과,29,보통,법정동,125000.0,보증금,110250.0,130000.0,165.1,125000.0,0.0
개포2동,강남구,연립다세대,전세,20㎡이하,116,높음,자치구,16000.0,보증금,14000.0,20000.0,17.6,16000.0,0.0
개포2동,강남구,연립다세대,전세,20-40㎡,19,보통,해당지역,28000.0,보증금,23000.0,36250.0,31.1,28000.0,0.0
개포2동,강남구,연립다세대,전세,40-60㎡,96,높음,법정동,35000.0,보증금,28563.8,41850.0,48.6,35000.0,0.0
개포2동,강남구,연립다세대,전세,60-85㎡,37,높음,법정동,40700.0,보증금,36750.0,47000.0,68.5,40700.0,0.0
개포2동,강남구,연립다세대,전세,85-135㎡,51,높음,자치구,65000.0,보증금,52500.0,80000.0,105.8,65000.0,0.0
개포2동,강남구,연립다세대,전세,135㎡초과,18,보통,자치구,105000.0,보증금,84887.5,135000.0,176.2,105000.0,0.0
개포2동,강남구,오피스텔,전세,20㎡이하,69,높음,자치구,21000.0,보증금,18600.0,23000.0,17.6,21000.0,0.0
개포2동,강남구,오피스텔,전세,20-40㎡,26,보통,법정동,19650.0,보증금,19000.0,21750.0,31.9,19650.0,0.0
개포2동,강남구,오피스텔,전세,40-60㎡,86,높음,자치구,37962.5,보증금,34140.0,45000.0,47.6,37962.5,0.0
개포2동,강남구,오피스텔,전세,60-85㎡,17,보통,자치구,68000.0,보증금,55600.0,73000.0,74.8,68000.0,0.0
개포2동,강남구,오피스텔,전세,85-135㎡,10,보통,자치구,106000.0,보증금,74625.0,132562.5,107.0,106000.0,0.0
개포3동,강남구,단독다가구,매매,135㎡초과,33,높음,자치구,425000.0,매매가,315000.0,725000.0,292.2,,
개포3동,강남구,아파트,매매,20-40㎡,49,높음,해당지역,170000.0,매매가,153000.0,175000.0,39.5,,
개포3동,강남구,아파트,매매,40-60㎡,24,보통,해당지역,205500.0,매매가,201500.0,216250.0,50.5,,
개포3동,강남구,아파트,매매,60-85㎡,14,보통,해당지역,294500.0,매매가,276250.0,302250.0,83.2,,
개포3동,강남구,아파트,매매,85-135㎡,53,높음,법정동,390000.0,매매가,306000.0,430000.0,108.1,,
개포3동,강남구,아파트,매매,135㎡초과,197,높음,자치구,520000.0,매매가,367500.0,750000.0,163.7,,
개포3동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,매매가,19446.0,29500.0,16.6,,
개포3동,강남구,연립다세대,매매,20-40㎡,45,높음,법정동,53500.0,매매가,40000.0,64800.0,32.8,,
개포3동,강남구,연립다세대,매매,40-60㎡,58,높음,법정동,72500.0,매매가,59150.0,83375.0,48.9,,
개포3동,강남구,연립다세대,매매,60-85㎡,17,보통,법정동,86500.0,매매가,73000.0,120000.0,75.6,,
개포3동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,매매가,113500.0,238125.0,106.1,,
개포3동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,매매가,155000.0,222000.0,166.0,,
개포3동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,매매가,15600.0,24425.0,17.6,,
개포3동,강남구,오피스텔,매매,20-40㎡,18,보통,해당지역,21800.0,매매가,21250.0,23400.0,32.4,,
개포3동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,매매가,33000.0,50000.0,45.5,,
개포3동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,매매가,65400.0,114750.0,74.8,,
개포3동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,64.2,월환산,54.6,74.4,19.0,1000.0,60.0
개포3동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,64.6,월환산,54.6,74.8,30.0,1000.0,54.5
개포3동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,102.4,월환산,93.6,121.0,46.9,5000.0,70.0
개포3동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,165.9,월환산,133.2,214.3,67.8,5000.0,120.0
개포3동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,205.8,월환산,158.7,271.5,100.7,10000.0,130.0
