fid,BASE_DATE,ADM_CD,ADM_NM,AREA
1,"20250630","11050560",중곡2동,545541.304149066
2,"20250630","11050610",구의2동,1388038.30724433
3,"20250630","11050620",구의3동,1027559.68329613
4,"20250630","11050590",능동,1092103.42828448
5,"20250630","11050600",구의1동,595003.618607853
6,"20250630","11050650",자양2동,1657520.79775692
7,"20250630","11050660",자양3동,1196418.00717704
8,"20250630","11050630",광장동,2393756.26318402
9,"20250630","11050640",자양1동,568867.126005058
10,"20250630","11060720",휘경1동,521795.846421984
11,"20250630","11060730",휘경2동,1113608.01811301
12,"20250630","11050670",자양4동,1180046.41721599
13,"20250630","11060710",회기동,766916.275058301
14,"20250630","11060820",제기동,1181704.23908127
15,"20250630","11060830",전농1동,1126694.74931484
16,"20250630","11060800",청량리동,1204397.55698881
17,"20250630","11060810",용신동,1618398.7891993
18,"20250630","11060870",장안1동,1342166.40111748
19,"20250630","11060880",장안2동,996639.280084427
20,"20250630","11060840",전농2동,977566.88528904
21,"20250630","11060860",답십리2동,875744.299037428
22,"20250630","11060910",답십리1동,788241.345025406
23,"20250630","11070520",면목2동,763120.686981181
24,"20250630","11060890",이문1동,1038801.92647763
25,"20250630","11060900",이문2동,724570.804671793
26,"20250630","11250670",성내3동,647354.190387851
27,"20250630","11250700",둔촌1동,912174.247693005
28,"20250630","11250650",성내1동,663673.109041371
29,"20250630","11250660",성내2동,625145.186647269
30,"20250630","11250730",천호2동,1851166.61484366
31,"20250630","11250740",길동,1631609.59573912
32,"20250630","11250710",둔촌2동,1550448.83547267
33,"20250630","11250720",암사1동,735476.995350722
34,"20250630","11250770",상일2동,1116395.74533009
35,"20250630","11250750",강일동,2272154.51513348
36,"20250630","11250760",상일1동,1804035.92040626
37,"20250630","11240560",마천2동,890684.194592919
38,"20250630","11240570",방이1동,609257.590859147
39,"20250630","11240540",거여2동,509618.340651864
40,"20250630","11240550",마천1동,575255.449823918
41,"20250630","11240600",오금동,1648862.29615647
42,"20250630","11240610",송파1동,686923.656055022
43,"20250630","11240580",방이2동,769838.995273565
44,"20250630","11240590",오륜동,3085078.23755356
45,"20250630","11240640",삼전동,953336.525433806
46,"20250630","11240650",가락본동,1014735.37696901
47,"20250630","11240620",송파2동,631021.014722012
48,"20250630","11240630",석촌동,946912.459601289
49,"20250630","11240680",문정1동,612544.290715987
50,"20250630","11240690",문정2동,2242026.32616794
51,"20250630","11240660",가락1동,1393224.56716009
52,"20250630","11240670",가락2동,932308.283266765
53,"20250630","11240770",잠실6동,1507998.31577337
54,"20250630","11240780",잠실7동,723485.584216266
55,"20250630","11240710",잠실본동,1028995.49075138
56,"20250630","11240750",잠실4동,780201.730523681
57,"20250630","11240810",장지동,1278350.64799203
58,"20250630","11240820",위례동,2640642.03191616
59,"20250630","11240790",잠실2동,2686847.24735255
60,"20250630","11240800",잠실3동,1542640.13440433
61,"20250630","11250550",고덕1동,1516987.76669987
62,"20250630","11250560",고덕2동,2476801.69227363
63,"20250630","11250530",명일1동,634939.462745606
64,"20250630","11250540",명일2동,914324.507582445
65,"20250630","11250610",천호1동,668995.866181385
66,"20250630","11250630",천호3동,561551.460811303
67,"20250630","11250580",암사2동,2174323.00347843
68,"20250630","11250590",암사3동,1799361.17343881
69,"20250630","11190610",양평1동,974909.718062857
70,"20250630","11190620",양평2동,2874589.81542896
71,"20250630","11190550",당산1동,745303.093289058
72,"20250630","11190560",당산2동,1581016.94398622
73,"20250630","11190660",신길4동,322601.113432704
74,"20250630","11190670",신길5동,494651.87355438
75,"20250630","11190630",신길1동,722923.748098312
76,"20250630","11190650",신길3동,520082.46802677
77,"20250630","11190700",대림1동,498976.901351358
78,"20250630","11190710",대림2동,572546.728109037
79,"20250630","11190680",신길6동,618352.523062877
80,"20250630","11190690",신길7동,647168.858778437
81,"20250630","11190740",영등포동,1372381.38445786
82,"20250630","11190750",도림동,585883.458029128
83,"20250630","11190720",대림3동,921694.470441974
84,"20250630","11190730",영등포본동,846369.133393822
85,"20250630","11200530",상도1동,1482533.1884026
86,"20250630","11200540",상도2동,778978.401609459
87,"20250630","11190760",문래동,1786704.38637407
88,"20250630","11200520",노량진2동,600567.970929695
89,"20250630","11200630",사당1동,635172.355497241
90,"20250630","11200650",사당3동,907714.276566062
91,"20250630","11200550",상도3동,637374.484342067
92,"20250630","11200560",상도4동,939561.673787903
93,"20250630","11200680",대방동,1544901.33692541
94,"20250630","11200690",신대방1동,675279.524751537
95,"20250630","11200660",사당4동,436147.659138475
96,"20250630","11200670",사당5동,682198.18962148
97,"20250630","11200720",노량진1동,1613444.91339551
98,"20250630","11200730",사당2동,2763171.048562
99,"20250630","11200700",신대방2동,970416.509353084
100,"20250630","11200710",흑석동,1708305.2536436
101,"20250630","11160740",우장산동,1261581.82701945
102,"20250630","11160751",가양1동,4869245.96032073
103,"20250630","11160710",방화2동,6157495.53527905
104,"20250630","11160730",화곡1동,1197513.19869492
105,"20250630","11170520",구로1동,1008889.29722961
106,"20250630","11170540",구로3동,1040105.5637743
107,"20250630","11160761",방화3동,2558863.23541879
108,"20250630","11170510",신도림동,1392784.50926078
109,"20250630","11170610",고척1동,1151234.2004472
110,"20250630","11170620",고척2동,1025425.07264165
111,"20250630","11170550",구로4동,524499.808943168
112,"20250630","11170560",구로5동,1012470.73021328
113,"20250630","11170670",오류1동,727604.107258243
114,"20250630","11170690",수궁동,2661336.59565153
115,"20250630","11170640",개봉2동,782454.04013423
116,"20250630","11170650",개봉3동,828414.68395464
117,"20250630","11170720",개봉1동,1320261.97864947
118,"20250630","11170730",오류2동,3061069.02028595
119,"20250630","11170700",가리봉동,410998.015662614
120,"20250630","11170710",구로2동,1703350.93108864
121,"20250630","11180520",독산1동,2061916.07975149
122,"20250630","11180530",독산2동,617206.76042509
123,"20250630","11170740",항동,1446932.7179561
124,"20250630","11180510",가산동,2512845.86507387
125,"20250630","11180570",시흥1동,1523354.83164559
126,"20250630","11180580",시흥2동,1308879.88299142
127,"20250630","11180540",독산3동,934983.261799805
128,"20250630","11180550",독산4동,591010.087157688
129,"20250630","11180610",시흥5동,1386970.37915076
130,"20250630","11190540",여의동,8437534.37509793
131,"20250630","11180590",시흥3동,1261388.42622413
132,"20250630","11180600",시흥4동,821707.952456261
133,"20250630","11220640",방배3동,2375133.3775561
134,"20250630","11220650",방배4동,949526.831714263
135,"20250630","11220620",방배1동,689244.451064731
136,"20250630","11220630",방배2동,1904030.44767544
137,"20250630","11220680",내곡동,12708949.9237672
138,"20250630","11230510",신사동,2059234.04499409
139,"20250630","11220660",양재1동,5764462.83035484
140,"20250630","11220670",양재2동,7563162.03271393
141,"20250630","11230530",논현2동,1458523.56578293
142,"20250630","11230580",삼성1동,1944627.24519602
143,"20250630","11230511",개포3동,1300288.51514643
144,"20250630","11230520",논현1동,1258743.89696405
145,"20250630","11230630",대치4동,701080.937288114
146,"20250630","11230640",역삼1동,2362132.41515307
147,"20250630","11230590",삼성2동,1242270.85022037
148,"20250630","11230600",대치1동,809822.245138431
149,"20250630","11230670",도곡2동,990762.412711997
150,"20250630","11230680",개포1동,1449950.56357526
151,"20250630","11230650",역삼2동,1135028.78580273
152,"20250630","11230660",도곡1동,1050608.86371549
153,"20250630","11230730",일원1동,953469.81382235
154,"20250630","11230750",수서동,1629400.1953445
155,"20250630","11230710",개포4동,1665459.91537529
156,"20250630","11230720",일원본동,2354621.34097566
157,"20250630","11230780",청담동,2329215.61670793
158,"20250630","11230790",대치2동,1837365.35804016
159,"20250630","11230760",세곡동,6366906.07044765
160,"20250630","11230770",압구정동,2345056.2080757
161,"20250630","11240520",풍납2동,2564548.4517027
162,"20250630","11240530",거여1동,522306.362351315
163,"20250630","11230800",개포2동,2243336.373387
164,"20250630","11240510",풍납1동,1075291.04249786
165,"20250630","11210570",행운동,718234.399042717
166,"20250630","11210580",낙성대동,2262817.24055558
167,"20250630","11210520",보라매동,756664.347854533
168,"20250630","11210540",청림동,297154.81280527
169,"20250630","11210630",남현동,3281023.45678311
170,"20250630","11210640",서원동,647531.774759333
171,"20250630","11210610",중앙동,384728.051486599
172,"20250630","11210620",인헌동,1089077.34882574
173,"20250630","11210680",신사동,641101.2690419
174,"20250630","11210690",신림동,541168.526733439
175,"20250630","11210650",신원동,544976.426133717
176,"20250630","11210660",서림동,941251.110776377
177,"20250630","11210730",대학동,8405178.47596529
178,"20250630","11210780",은천동,776211.494272296
179,"20250630","11210710",난향동,821395.44255839
180,"20250630","11210720",조원동,666605.579900263
181,"20250630","11210810",난곡동,972371.602013015
182,"20250630","11210820",삼성동,2604383.91943294
183,"20250630","11210790",성현동,678222.257692185
184,"20250630","11210800",청룡동,1195603.61032215
185,"20250630","11220520",서초2동,1231167.61598676
186,"20250630","11220530",서초3동,2998571.66005904
