구,행정동명,행정동ID_8자리,아파트매매_면적별시세
강남구,개포1동,11230680,"135㎡초과 520,000만원 / 20-40㎡ 170,000만원 / 40-60㎡ 267,000만원 / 60-85㎡ 348,000만원 / 85-135㎡ 299,000만원"
강남구,개포2동,11230800,"135㎡초과 520,000만원 / 20-40㎡ 170,000만원 / 40-60㎡ 290,000만원 / 60-85㎡ 355,000만원 / 85-135㎡ 431,000만원"
강남구,개포3동,11230511,"135㎡초과 520,000만원 / 20-40㎡ 170,000만원 / 40-60㎡ 205,500만원 / 60-85㎡ 294,500만원 / 85-135㎡ 390,000만원"
강남구,개포4동,11230710,"135㎡초과 520,000만원 / 20-40㎡ 170,000만원 / 40-60㎡ 267,000만원 / 60-85㎡ 318,000만원 / 85-135㎡ 380,000만원"
강남구,논현1동,11230520,"135㎡초과 520,000만원 / 20-40㎡ 124,000만원 / 40-60㎡ 100,000만원 / 60-85㎡ 127,500만원 / 85-135㎡ 157,000만원"
강남구,논현2동,11230530,"135㎡초과 520,000만원 / 20-40㎡ 123,500만원 / 40-60㎡ 109,000만원 / 60-85㎡ 216,000만원 / 85-135㎡ 170,000만원"
강남구,대치1동,11230600,"135㎡초과 590,000만원 / 20-40㎡ 30,000만원 / 40-60㎡ 250,000만원 / 60-85㎡ 391,000만원 / 85-135㎡ 475,000만원"
강남구,대치2동,11230790,"135㎡초과 540,000만원 / 20-40㎡ 30,000만원 / 40-60㎡ 250,000만원 / 60-85㎡ 350,000만원 / 85-135㎡ 418,000만원"
강남구,대치4동,11230630,"135㎡초과 540,000만원 / 20-40㎡ 30,000만원 / 40-60㎡ 250,000만원 / 60-85㎡ 360,000만원 / 85-135㎡ 447,500만원"
강남구,도곡1동,11230660,"135㎡초과 295,000만원 / 20-40㎡ 30,000만원 / 40-60㎡ 278,000만원 / 60-85㎡ 250,000만원 / 85-135㎡ 235,000만원"
강남구,도곡2동,11230670,"135㎡초과 450,000만원 / 20-40㎡ 39,850만원 / 40-60㎡ 285,000만원 / 60-85㎡ 347,000만원 / 85-135㎡ 375,000만원"
강남구,삼성1동,11230580,"135㎡초과 513,750만원 / 20-40㎡ 148,000만원 / 40-60㎡ 215,000만원 / 60-85㎡ 190,000만원 / 85-135㎡ 297,500만원"
강남구,삼성2동,11230590,"135㎡초과 472,500만원 / 20-40㎡ 148,000만원 / 40-60㎡ 220,000만원 / 60-85㎡ 331,000만원 / 85-135㎡ 302,000만원"
강남구,세곡동,11230760,"135㎡초과 520,000만원 / 20-40㎡ 140,000만원 / 40-60㎡ 149,500만원 / 60-85㎡ 180,000만원 / 85-135㎡ 220,000만원"
강남구,수서동,11230750,"135㎡초과 520,000만원 / 20-40㎡ 158,000만원 / 40-60㎡ 205,000만원 / 60-85㎡ 292,500만원 / 85-135㎡ 340,000만원"
강남구,신사동,11230510,"135㎡초과 915,000만원 / 20-40㎡ 140,000만원 / 40-60㎡ 218,000만원 / 60-85㎡ 500,000만원 / 85-135㎡ 610,000만원"
강남구,압구정동,11230770,"135㎡초과 775,000만원 / 20-40㎡ 140,000만원 / 40-60㎡ 167,500만원 / 60-85㎡ 520,000만원 / 85-135㎡ 549,000만원"
강남구,역삼1동,11230640,"135㎡초과 287,500만원 / 20-40㎡ 39,500만원 / 40-60㎡ 71,000만원 / 60-85㎡ 136,000만원 / 85-135㎡ 340,000만원"
강남구,역삼2동,11230650,"135㎡초과 357,500만원 / 20-40㎡ 32,750만원 / 40-60㎡ 266,000만원 / 60-85㎡ 298,000만원 / 85-135㎡ 357,500만원"
강남구,일원1동,11230730,"135㎡초과 520,000만원 / 20-40㎡ 140,000만원 / 40-60㎡ 209,500만원 / 60-85㎡ 272,500만원 / 85-135㎡ 315,000만원"
강남구,일원본동,11230720,"135㎡초과 520,000만원 / 20-40㎡ 150,250만원 / 40-60㎡ 209,500만원 / 60-85㎡ 258,500만원 / 85-135㎡ 340,000만원"
강남구,청담동,11230780,"135㎡초과 456,500만원 / 20-40㎡ 140,000만원 / 40-60㎡ 234,050만원 / 60-85㎡ 255,000만원 / 85-135㎡ 300,000만원"
강동구,강일동,11250750,"135㎡초과 174,000만원 / 20-40㎡ 51,788만원 / 20㎡이하 11,000만원 / 40-60㎡ 98,750만원 / 60-85㎡ 129,500만원 / 85-135㎡ 168,000만원"
강동구,고덕1동,11250550,"135㎡초과 174,000만원 / 20-40㎡ 51,788만원 / 20㎡이하 11,000만원 / 40-60㎡ 145,000만원 / 60-85㎡ 164,500만원 / 85-135㎡ 244,500만원"
강동구,고덕2동,11250560,"135㎡초과 174,000만원 / 20-40㎡ 51,788만원 / 20㎡이하 11,000만원 / 40-60㎡ 188,000만원 / 60-85㎡ 222,500만원 / 85-135㎡ 244,500만원"
강동구,길동,11250740,"135㎡초과 172,000만원 / 20-40㎡ 44,700만원 / 20㎡이하 10,400만원 / 40-60㎡ 116,500만원 / 60-85㎡ 79,250만원 / 85-135㎡ 60,000만원"
강동구,둔촌1동,11250700,"135㎡초과 174,000만원 / 20-40㎡ 167,500만원 / 20㎡이하 11,000만원 / 40-60㎡ 135,000만원 / 60-85㎡ 280,000만원 / 85-135㎡ 311,500만원"
강동구,둔촌2동,11250710,"135㎡초과 174,000만원 / 20-40㎡ 167,500만원 / 20㎡이하 11,000만원 / 40-60㎡ 133,000만원 / 60-85㎡ 129,000만원 / 85-135㎡ 169,000만원"
강동구,명일1동,11250530,"135㎡초과 174,000만원 / 20-40㎡ 51,788만원 / 20㎡이하 11,000만원 / 40-60㎡ 151,000만원 / 60-85㎡ 140,250만원 / 85-135㎡ 220,000만원"
